queue_index,person_id,sex,age,age_bucket,demographic_target,background,skin_tone,weathering_note,habitus_note,habitus_group,aesthetic_note,attractiveness_note,mix_key,front_done,side_done,back_done
21,person_055,male,33,30-45,white,Caucasus-region ancestry with fair-to-olive complexion,"medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","very heavy-set build: round cheeks, reduced jaw definition, broad neck, and pronounced submental fullness",heavy,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,"Caucasus-region ancestry with fair-to-olive complexion | medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure | heavy",false,false,false
22,person_068,male,67,46-80,white,Central Mediterranean ancestry,"pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,"Central Mediterranean ancestry | pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines | heavy",false,false,false
23,person_022,male,44,30-45,white,Irish and British Isles ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","obese facial build: very full cheeks, heavy lower face, thick neck, and strong under-chin fullness while remaining anatomically realistic",heavy,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face","Irish and British Isles ancestry | fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples | heavy",false,false,false
24,person_061,male,53,46-80,white,Northwestern European ancestry,"fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,"Northwestern European ancestry | fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness | lean",false,false,false
25,person_076,male,53,46-80,white,Central European ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Central European ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | mid",false,false,false
26,person_020,male,18,18-29 young men,white,Central European ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness","large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Central European ancestry | very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks | heavy",false,false,false
27,person_046,male,36,30-45,white,Balkan European ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","obese facial build: very full cheeks, heavy lower face, thick neck, and strong under-chin fullness while remaining anatomically realistic",heavy,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Balkan European ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | heavy",false,false,false
28,person_052,male,34,30-45,white,Baltic European ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face","Baltic European ancestry | fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples | mid",false,false,false
29,person_086,female,53,46-80,white,Eastern European ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Eastern European ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | lean",false,false,false
30,person_024,male,38,30-45,white,Baltic European ancestry,"warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","very lean, skinny face with hollow cheeks, visible cheekbone planes, narrow neck, and minimal under-chin fullness",lean,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance","Baltic European ancestry | warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks | lean",false,false,false
31,person_100,female,46,46-80,white,Eastern European ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Eastern European ancestry | very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks | mid",false,false,false
32,person_008,male,18,18-29 young men,hispanic_latino,Andean Latino ancestry,light olive skin,"weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness","large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,hispanic_latino | heavy,true,false,false
33,person_095,female,46,46-80,white,mixed Northern and Southern European ancestry,"medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","gaunt-skinny build: hollow cheeks, narrow temples, prominent facial bones, thin neck, and dry weathered texture",lean,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,"mixed Northern and Southern European ancestry | medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure | lean",false,false,false
34,person_081,female,53,46-80,white,mixed Northern and Southern European ancestry,"fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","stocky build: dense neck, broad lower face, softened chin transition, and moderate facial fat",heavy,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,"mixed Northern and Southern European ancestry | fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness | heavy",true,true,true
35,person_051,male,45,30-45,white,Scandinavian ancestry,"fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","average-light build: modest facial fullness, clear jaw contour, and medium-thin neck",mid,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,"Scandinavian ancestry | fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness | mid",false,false,false
36,person_012,male,18,18-29 young men,white,Central Mediterranean ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","mild but visible outdoor sun exposure: uneven tan on forehead, nose, and cheekbones, small freckles or dark spots, realistic pores; keep the person their stated young adult age","very lean, skinny face with hollow cheeks, visible cheekbone planes, narrow neck, and minimal under-chin fullness",lean,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face","Central Mediterranean ancestry | fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples | lean",false,false,false
37,person_054,male,44,30-45,white,Central Mediterranean ancestry,"warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","heavy-set build: broad full face, soft jawline, thick neck, and visible under-chin fullness",heavy,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance","Central Mediterranean ancestry | warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks | heavy",false,false,false
38,person_066,male,53,46-80,white,Baltic European ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","heavy-set build: broad full face, soft jawline, thick neck, and visible under-chin fullness",heavy,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Baltic European ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | heavy",false,false,false
39,person_035,male,45,30-45,white,Ashkenazi Jewish European ancestry,"medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","gaunt-skinny build: hollow cheeks, narrow temples, prominent facial bones, thin neck, and dry weathered texture",lean,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,"Ashkenazi Jewish European ancestry | medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure | lean",false,false,false
40,person_057,male,43,30-45,white,Southern European ancestry,"tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","stocky build: dense neck, broad lower face, softened chin transition, and moderate facial fat",heavy,"gaunt temples, hollow cheeks, and dry weathered scalp skin",plain face with uneven features and tired skin,"Southern European ancestry | tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones | heavy",false,false,false
41,person_064,male,74,46-80,white,Irish and British Isles ancestry,"warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance","Irish and British Isles ancestry | warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks | mid",false,false,false
42,person_083,female,67,46-80,white,Caucasus-region ancestry with fair-to-olive complexion,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","gaunt-skinny build: hollow cheeks, narrow temples, prominent facial bones, thin neck, and dry weathered texture",lean,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,"Caucasus-region ancestry with fair-to-olive complexion | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure | lean",true,false,false
43,person_089,female,74,46-80,white,Northwestern European ancestry,"light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","solid build: fuller cheeks, softened jaw corners, thicker neck, and subtle under-chin fullness",mid,"long philtrum, thin uneven lips, and asymmetrical cheek fullness","ordinary face with asymmetry, large pores, and uneven complexion","Northwestern European ancestry | light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture | mid",false,false,false
44,person_093,female,67,46-80,white,Scandinavian ancestry,"light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","stocky build: dense neck, broad lower face, softened chin transition, and moderate facial fat",heavy,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,"Scandinavian ancestry | light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation | heavy",false,false,false
45,person_002,male,24,18-29 young men,asian,Southeast Asian ancestry,medium olive skin,"weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness","slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face",asian | lean,true,false,false
46,person_013,male,21,18-29 young men,white,Caucasus-region ancestry with fair-to-olive complexion,"light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation","noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged","lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,"Caucasus-region ancestry with fair-to-olive complexion | light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation | lean",false,false,false
47,person_074,male,74,46-80,white,Balkan European ancestry,"warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance","Balkan European ancestry | warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks | lean",false,false,false
48,person_092,female,60,46-80,white,Irish and British Isles ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face","Irish and British Isles ancestry | fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples | heavy",false,false,false
49,person_045,male,31,30-45,white,Western European ancestry,"medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","stocky build: dense neck, broad lower face, softened chin transition, and moderate facial fat",heavy,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,"Western European ancestry | medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure | heavy",false,false,false
